station_name,stats,p_value,crit1,stationary
Südring/Stadthallenbrücke,-12.669852136362236,1.251400687831572e-23,-3.4305718333664075,True
TU Harburg/Denickestraße,-8.943548354582576,9.116185413316974e-15,-3.4305718333664075,True
Thadenstraße/Holstenstraße,-4.563269914863554,0.00015087519350934298,-3.430571825841386,True
Traberweg/Eckerkoppel,-8.229552528166828,6.115253092735875e-13,-3.430571825841386,True
Troplowitzstraße / Beiersdorf  / NXP,-16.49284995411809,2.184249176139207e-29,-3.430571825841386,True
U-Bahn Baumwall,-13.05377009907878,2.1155139762712375e-24,-3.4305718183168747,True
U-Bahn Schlump,-10.901955995564972,1.1532433029810393e-19,-3.4305718183168747,True
Uferstraße/Wagnerstraße,-11.6806494434896,1.744693849706012e-21,-3.4305718333664075,True
Uhlandstraße / Eingang Nord,-11.607116399981827,2.5651677940516274e-21,-3.430571825841386,True
Unilever/Strandkai,-12.864301039172442,5.0332135117910395e-24,-3.4305718333664075,True
Universität / Moorweidenstraße,-15.462910348098614,2.691234100989719e-28,-3.4305718333664075,True
Universität / Schlüterstraße,-19.481118803325867,0.0,-3.4305718333664075,True
Versmannstraße/Am Hannoverschen Bahnhof,-8.758052992140515,2.7212704844651497e-14,-3.430571825841386,True
Vierlandenstraße/Johann-Adolf-Hasse-Platz,-10.016149458893745,1.7267885862699716e-17,-3.4305718333664075,True
Wandsbeker Chaussee/ Börnestraße,-10.896389245613024,1.189273337404197e-19,-3.430571825841386,True
Wandsbeker Chaussee/Ritterstraße,-10.250002678686341,4.5116996177266855e-18,-3.430571825841386,True
Wandsbeker Marktstraße/Wandsbeker Marktplatz,-10.549869243002236,8.229020556532308e-19,-3.4305718333664075,True
Wartenau / Lübecker Straße,-11.040229118786232,5.3891016688948925e-20,-3.4305718183168747,True
Weidestraße /Johannes-Prassek-Park,-7.150156643284404,3.156453635490835e-10,-3.430571825841386,True
Weidestraße/Biedermannplatz,-12.519751823423546,2.563983926716018e-23,-3.4305718333664075,True
Wentorfer Straße/Bezirksamt Bergedorf,-9.91170557766276,3.156432483634639e-17,-3.4305718183168747,True
Wiesendamm/Roggenkamp,-10.196162840662875,6.138546103270158e-18,-3.430571825841386,True
Wilhelmsburger Platz/Zur Schleuse,-10.06616757727008,1.294574594639289e-17,-3.4305718183168747,True
Winterhuder Weg/ Zimmerstraße,-10.172055890510068,7.047526519420252e-18,-3.4305718333664075,True
Zentralbibliothek / Münzstraße,-14.291134781633328,1.2750254263087754e-26,-3.430571825841386,True
Überseering/Mexikoring,-15.941277131518047,7.535712447251069e-29,-3.430571825841386,True
